1.34;1.36;2
4.51;0.21;5
3.51;9.11;0
4.71;0.74;5
5.70;6.35;4
0.89;5.56;1
7.90;2.22;7
4.19;2.50;6
2.92;8.03;0
4.75;2.70;6
2.86;7.49;0
4.58;3.06;6
3.22;1.13;6
1.19;0.69;2
6.95;6.48;4
7.90;3.93;7
5.30;3.98;6
1.90;5.97;1
8.88;3.71;7
0.38;2.83;2
8.85;2.62;7
5.20;0.20;5
5.07;9.99;3
6.09;9.30;3
8.72;1.62;7
7.96;4.94;4
5.51;7.29;3
0.14;4.50;1
1.83;0.57;2
1.92;0.12;2
0.85;0.01;2
1.34;2.31;2
9.11;5.76;4
9.24;0.24;7
7.65;7.49;3
7.64;9.87;3
5.65;4.86;4
2.46;9.61;0
6.61;5.41;4
5.97;5.72;4
6.88;7.21;3
4.60;6.36;4
7.75;8.97;3
6.73;3.61;7
0.11;1.43;2
4.94;7.29;3
7.81;2.71;7
1.41;7.73;0
4.74;9.67;3
8.92;6.82;4
6.39;8.80;3
7.65;0.43;5
8.67;2.68;7
9.54;0.70;7
2.88;4.10;1
7.18;6.48;4
5.91;0.94;5
1.01;2.32;2
7.01;3.54;7
4.97;6.65;4
6.64;3.08;7
2.24;8.04;0
7.40;1.52;7
7.87;4.99;4
2.64;5.04;1
4.93;3.72;6
5.14;2.27;6
2.83;4.10;1
1.25;8.10;0
8.56;8.71;3
0.56;4.72;1
7.11;0.23;5
8.83;6.58;4
7.23;3.70;7
0.48;5.13;1
6.14;3.66;4
3.95;6.94;0
1.80;4.65;1
5.93;4.59;4
0.23;4.82;1
4.32;2.97;6
0.94;3.28;1
1.31;3.63;1
8.27;5.29;4
0.32;9.41;0
2.10;3.23;1
5.29;9.26;3
5.79;5.16;4
3.75;2.72;6
4.43;6.32;4
4.85;9.08;3
6.39;5.81;4
4.90;2.09;6
2.10;4.87;1
8.74;9.13;3
2.72;4.52;1
5.65;2.13;6
0.48;7.11;0
6.31;4.82;4
6.14;0.59;5
