7.86;4.54;2
5.94;0.62;4
5.48;0.56;4
8.41;0.39;4
7.57;7.75;6
6.75;4.48;2
4.72;3.73;5
9.13;6.88;7
3.65;2.01;3
9.10;7.41;7
8.41;3.26;2
9.31;4.43;2
2.71;2.35;3
8.96;9.24;7
1.00;2.95;1
2.60;2.26;3
0.96;8.11;0
7.81;0.34;4
6.76;2.90;4
8.99;2.20;4
1.26;5.42;1
9.73;1.83;4
9.44;9.16;7
6.11;3.99;2
7.88;4.06;2
7.13;5.78;2
5.02;6.01;5
1.27;0.60;3
5.09;2.90;3
2.36;9.91;0
7.48;9.68;6
1.51;8.96;0
8.51;3.77;2
8.08;1.11;4
3.57;0.07;3
5.82;6.17;5
6.64;8.90;6
4.42;4.84;5
1.56;9.66;0
3.05;3.21;3
3.78;4.87;5
7.29;5.36;2
9.90;4.16;2
7.10;4.57;2
3.76;2.54;3
8.94;8.87;7
4.40;5.78;5
7.82;1.98;4
6.82;0.57;4
2.98;3.43;3
1.75;4.74;1
4.25;0.14;3
3.35;1.73;3
0.23;9.72;0
2.86;4.43;1
3.81;5.93;5
0.21;3.34;1
1.79;8.01;0
8.16;3.79;2
0.44;2.35;1
5.26;9.18;6
7.39;4.85;2
0.92;4.81;1
8.75;4.52;2
8.40;4.49;2
7.52;9.93;6
9.94;4.24;2
4.29;1.68;3
0.47;2.79;1
5.27;5.32;5
3.46;7.50;0
1.51;5.46;1
0.79;0.28;3
1.62;4.69;1
0.48;3.52;1
4.63;4.69;5
2.91;8.11;0
9.86;7.08;7
2.99;7.64;0
2.31;8.29;0
6.62;0.70;4
6.81;5.77;2
6.81;0.36;4
2.44;9.14;0
5.14;6.75;5
2.28;4.45;1
7.28;7.48;6
6.79;4.36;2
7.23;2.79;4
0.37;1.67;1
4.97;5.80;5
3.11;8.64;0
5.44;2.20;4
3.66;2.99;3
8.28;4.79;2
1.43;3.83;1
3.30;6.21;5
2.34;7.64;0
9.29;0.16;4
8.80;7.84;7
